aaa;bbb;ccc;ddd;eee;fff
62;28;5;6;5;28
55;23;1;2;2;23
49;21;2;2;2;22
67;34;25;27;26;35
52;22;3;3;2;22
53;26;9;10;10;27
62;27;7;8;7;27
54;32;11;12;10;32
43;29;15;16;15;30
60;27;3;3;3;26
73;35;24;25;24;33
39;32;19;21;19;35
45;25;4;4;3;25
36;22;5;5;4;23
33;36;15;16;15;36
35;27;13;14;13;28
60;29;9;10;9;30
52;30;8;9;8;31
52;31;7;8;7;30
54;30;10;11;10;31
68;29;14;15;14;30
60;22;1;1;1;22
63;26;5;6;6;25
78;32;21;23;21;34
60;20;1;1;2;21
70;28;11;11;11;26
68;28;16;18;17;27
54;32;16;16;15;32
56;27;15;16;15;27
52;27;3;3;3;27
77;33;22;22;20;33
56;22;0;1;1;23
62;35;19;20;19;33
59;26;11;12;11;27
58;29;13;15;14;30
62;27;7;8;7;27
51;28;8;8;8;29
44;31;3;4;3;32
71;32;22;24;22;31
68;28;16;18;17;27
75;35;24;25;24;36
52;21;1;0;0;22
65;31;14;14;13;32
31;19;3;3;3;19
83;32;16;17;15;32
53;24;4;4;4;25
44;22;1;2;1;23
63;26;5;6;6;25
59;26;15;16;15;26
65;17;2;2;2;17
64;26;6;7;6;25
51;31;10;11;11;32
62;21;1;1;0;22
56;15;0;0;1;16
56;21;4;5;4;21
55;27;8;10;8;27
71;32;22;24;22;31
60;21;0;1;0;21
52;26;6;7;6;26
55;27;8;10;8;27
57;21;1;2;2;21
57;26;7;7;7;26
73;33;14;15;14;34
54;31;9;10;9;30
80;35;25;25;25;34
60;27;3;3;3;26
59;25;3;3;3;24
47;28;13;15;14;30
36;22;5;5;4;23
57;30;11;12;11;31
56;22;3;4;4;23
77;33;22;22;20;33
59;25;3;3;3;24
73;35;24;25;24;33
54;42;25;27;25;43
51;28;8;8;8;29
56;24;3;4;4;26
80;33;21;22;21;33
62;35;7;8;7;35
44;26;2;2;2;27
78;31;21;22;20;30
58;19;0;1;0;19
48;22;2;2;2;23
46;26;3;3;3;27
77;35;27;28;27;35
58;20;1;2;1;20
54;30;10;11;10;31
59;25;11;13;11;27
53;25;12;12;12;26
54;18;1;1;1;19
53;22;5;5;6;23
55;13;0;0;1;15
71;34;24;25;24;34
62;32;17;19;18;32
69;30;18;19;18;30
57;26;7;7;7;26
61;27;11;13;12;27
55;25;5;6;5;27
90;36;25;26;25;37
47;23;2;3;3;22
53;22;5;5;6;23
50;39;21;22;21;38
39;23;1;2;2;23
79;31;18;20;19;32
76;27;11;11;10;27
83;32;16;17;15;32
64;25;12;13;12;25
56;28;15;16;16;28
72;30;20;21;20;30
52;28;4;5;4;28
54;30;12;13;12;29
79;28;13;14;13;28
54;19;2;1;1;19
61;31;17;18;17;32
79;34;23;24;23;34
79;33;21;22;22;34
80;36;25;26;25;35
80;41;25;25;25;39
88;39;25;24;24;40
79;40;27;27;26;40
81;37;19;18;17;35
74;25;3;2;2;25
78;40;20;20;20;41
79;32;15;15;15;32
77;31;15;15;15;32
83;41;25;25;24;40
76;36;21;21;21;35
82;36;19;18;18;35
71;27;5;6;4;27
83;34;16;16;15;33
76;36;21;21;21;35
82;37;18;17;16;35
81;37;18;17;17;35
75;23;2;2;2;23
85;35;22;23;23;37
83;37;20;20;19;35
79;40;27;27;26;40
85;38;21;21;21;37
92;43;31;31;32;45
78;38;23;23;23;38
86;37;21;21;20;39
85;36;20;20;19;36
82;37;18;17;17;37
83;32;16;15;15;32
83;37;20;21;21;37
85;40;22;22;21;39
84;44;26;26;25;44
81;37;19;18;17;35
81;31;13;14;13;32
83;41;27;27;26;39
92;42;27;27;27;43
76;24;1;1;1;24
85;32;16;16;16;32
83;35;16;16;16;35
78;37;20;20;19;36
82;37;18;17;17;37
76;36;21;21;21;35
80;25;1;1;1;26
90;38;23;23;23;38
81;35;17;16;16;34
72;33;9;9;9;32
87;40;22;22;21;40
82;31;13;14;13;32
81;34;18;17;17;33
76;30;18;17;17;29
70;32;8;9;8;32
80;38;25;25;23;36
72;32;13;12;12;32
68;34;20;21;21;33
83;34;16;16;15;33
90;36;23;24;23;36
87;39;24;24;24;40
85;36;20;20;19;36
87;40;22;22;21;40
91;38;24;24;24;37
67;33;17;18;17;32
77;25;3;3;4;26
80;41;25;25;25;39
76;24;3;2;1;24
81;35;17;16;16;34
83;37;20;20;19;35
82;31;13;14;13;32
86;37;21;21;20;39
68;34;20;21;21;33
85;38;21;21;21;37
94;42;28;28;28;43
81;31;13;14;13;32
86;35;19;19;18;35
67;33;17;18;17;32
86;37;20;20;20;37
73;33;21;21;20;32
83;37;20;21;21;37
83;34;16;16;15;33
76;23;1;1;0;23
79;31;23;23;23;31
85;32;16;16;16;32
71;30;6;6;6;29
76;23;1;1;0;23
72;33;9;9;9;32
79;32;15;15;15;32
77;25;1;0;0;25
81;34;20;19;19;34
90;42;28;29;28;42
89;40;23;23;22;39
82;44;25;25;24;41
73;31;19;19;18;29
77;34;19;18;17;34
81;34;18;17;17;33
83;41;25;25;24;40
76;26;1;2;2;25
84;37;20;19;19;37
79;27;3;3;2;27
76;36;21;21;21;35
67;33;17;18;17;32
84;37;20;20;20;36
76;23;1;1;0;24
98;42;27;28;27;41
87;40;22;22;21;40
87;36;20;20;19;35
80;41;25;25;25;39
72;23;3;2;3;24
85;35;18;18;18;35
86;37;22;22;22;38
78;21;1;1;1;22
68;32;10;10;9;33
82;40;25;24;24;40
85;35;19;18;17;34
88;37;26;27;26;37
78;33;16;17;17;35
85;40;22;22;21;39
77;25;1;0;0;25
78;32;22;22;21;33
85;40;22;22;21;38
82;40;23;22;22;39
75;23;2;2;2;23
87;36;20;20;19;35
81;41;23;23;22;40
90;36;23;24;23;36
83;41;25;25;24;40
69;36;25;26;25;34
84;38;22;21;21;36
79;32;15;15;15;32
84;36;19;18;18;35
85;36;20;20;19;35
83;34;16;16;15;33
79;25;4;4;3;25
79;32;15;15;15;32
78;31;14;15;15;31
72;24;5;5;4;23
85;35;18;18;18;35
81;37;20;20;20;37
79;25;12;13;13;26
80;37;23;23;23;38
84;37;20;19;19;37
82;39;24;24;24;39
81;35;17;16;16;34
86;35;19;19;18;35
90;36;23;24;23;36
84;37;20;20;20;36
88;41;24;25;25;42
